gre_score,gre_score_quant,gre_score_verbal,test_score_toefl,undergraduation_score,work_ex,papers_published,university_name,status,ranking
330,167,163,114.0,2.4,6,0,northeastern_university,accept,15
310,159,151,75.0,2.88,58,0,northeastern_university,accept,15
316,163,153,112.0,3.24,24,0,northeastern_university,accept,15
320,162,158,108.0,3.24,28,3,northeastern_university,accept,15
306,158,148,101,2.65,0,0,northeastern_university,accept,15
314,162,152,98.0,3.4,18,2,northeastern_university,accept,15
309,161,148,101.0,2.9,51,0,northeastern_university,accept,15
313,162,151,111.0,3.44,22,3,northeastern_university,accept,15
313,166,147,108.0,3.46,0,0,northeastern_university,accept,15
313,161,152,107.0,3.27,6,2,northeastern_university,accept,15
317,170,147,106.0,3.19,24,0,northeastern_university,accept,15
324,168,156,106.0,3.0,26,0,northeastern_university,accept,15
306,157,149,111.0,3.0,49,0,northeastern_university,accept,15
312,160,152,104.0,3.0,24,0,northeastern_university,accept,15
329,168,161,110.0,3.39,3,2,northeastern_university,accept,15
311,164,147,102.0,3.02,27,3,northeastern_university,accept,15
311,165,146,101,2.2,0,0,northeastern_university,accept,15
317,163,154,105.0,3.29,48,0,northeastern_university,accept,15
310,165,145,101,3.69,15,0,northeastern_university,accept,15
322,163,159,115.0,2.4,22,3,northeastern_university,accept,15
306,159,147,99.0,2.56,29,1,northeastern_university,accept,15
315,162,153,102.0,2.94,31,2,northeastern_university,accept,15
315,163,152,107.0,3.42,0,3,northeastern_university,accept,15
310,165,145,101,2.92,0,0,northeastern_university,accept,15
311,159,152,114,3.34,43,0,northeastern_university,accept,15
318,165,153,102.0,3.57,38,0,northeastern_university,accept,15
323,170,153,107.0,3.66,8,0,northeastern_university,accept,15
312,167,145,99.0,3.3,13,2,northeastern_university,accept,15
307,157,150,104.0,2.62,11,0,northeastern_university,accept,15
326,164,162,110.0,3.24,0,0,northeastern_university,accept,15
307,157,150,107.0,3.4,6,3,northeastern_university,accept,15
324,166,158,112.0,2.18,20,0,northeastern_university,accept,15
316,163,153,0,2.45,27,0,northeastern_university,accept,15
319,164,155,0,3.43,1,3,northeastern_university,accept,15
318,166,152,0,2.93,17,0,northeastern_university,accept,15
314,163,151,106.0,2.74,46,3,northeastern_university,accept,15
321,160,161,111.0,2.8,24,0,northeastern_university,accept,15
328,166,162,0,2.35,24,3,northeastern_university,accept,15
318,167,151,112.0,2.9,2,3,northeastern_university,accept,15
320,161,159,114,2.8,12,1,northeastern_university,accept,15
319,166,153,0,2.5,2,0,northeastern_university,accept,15
315,164,151,108.0,3.18,17,3,northeastern_university,accept,15
314,164,150,108.0,3.48,2,0,northeastern_university,accept,15
322,167,155,107.0,3.28,15,0,northeastern_university,accept,15
315,166,149,105.0,3.68,18,3,northeastern_university,accept,15
314,162,152,105.0,3.4,41,0,northeastern_university,accept,15
320,166,154,104.0,3.62,5,3,northeastern_university,accept,15
329,170,159,116.0,3.64,10,3,northeastern_university,accept,15
312,158,154,104.0,2.96,30,3,northeastern_university,accept,15
321,165,156,105.0,3.0,39,0,northeastern_university,accept,15
332,166,166,115.0,3.52,22,0,northeastern_university,accept,15
329,165,164,113.0,3.16,18,0,northeastern_university,accept,15
324,166,158,120.0,3.75,2,0,northeastern_university,accept,15
317,165,152,102.0,3.09,13,0,northeastern_university,accept,15
330,169,161,116.0,3.43,12,2,northeastern_university,accept,15
304,154,150,105.0,3.2,31,3,northeastern_university,accept,15
320,162,158,102.0,3.32,6,3,northeastern_university,accept,15
325,166,159,113.0,2.76,12,0,northeastern_university,accept,15
319,166,153,112.0,3.42,4,0,northeastern_university,accept,15
326,162,164,111.0,2.76,1,0,northeastern_university,accept,15
309,162,147,105.0,3.32,0,0,northeastern_university,accept,15
320,162,158,117.0,3.37,2,2,northeastern_university,accept,15
319,168,151,0,3.16,14,3,northeastern_university,accept,15
314,161,153,108.0,3.34,17,0,northeastern_university,accept,15
314,162,152,105.0,3.39,4,0,northeastern_university,accept,15
312,154,158,104.0,1.24,2,0,northeastern_university,accept,15
322,162,160,112.0,3.57,12,0,northeastern_university,accept,15
328,163,165,114.0,2.99,69,0,northeastern_university,accept,15
326,167,159,112.0,3.67,5,0,northeastern_university,accept,15
317,165,152,110.0,3.47,0,0,northeastern_university,accept,15
317,166,151,104.0,3.44,2,0,northeastern_university,accept,15
309,157,152,108.0,3.1,26,0,northeastern_university,accept,15
323,168,155,110.0,3.52,5,2,northeastern_university,accept,15
316,162,154,110.0,3.82,16,3,northeastern_university,accept,15
320,165,155,0,2.7,22,3,northeastern_university,accept,15
313,163,150,106.0,3.42,0,1,northeastern_university,accept,15
316,164,152,110.0,3.04,0,0,northeastern_university,accept,15
315,164,151,104.0,2.97,2,0,northeastern_university,accept,15
316,162,154,114,3.38,0,0,northeastern_university,accept,15
321,167,154,113.0,3.54,2,2,northeastern_university,accept,15
321,168,153,106.0,3.4,0,0,northeastern_university,accept,15
334,170,164,117.0,3.28,0,3,northeastern_university,accept,15
318,164,154,0,3.26,16,0,northeastern_university,accept,15
316,159,157,110.0,3.36,36,0,northeastern_university,accept,15
316,164,152,0,3.6,22,3,northeastern_university,accept,15
322,169,153,110.0,3.16,52,0,northeastern_university,accept,15
316,162,154,110.0,3.81,16,3,northeastern_university,accept,15
319,161,158,110.0,3.64,12,0,northeastern_university,accept,15
320,166,154,105.0,3.58,4,3,northeastern_university,accept,15
328,170,158,113.0,3.18,44,0,northeastern_university,accept,15
325,169,156,117.0,3.37,2,3,northeastern_university,accept,15
323,167,156,114.0,2.92,4,0,northeastern_university,accept,15
318,165,153,102.0,2.93,18,2,northeastern_university,accept,15
320,162,158,112.0,3.02,28,0,northeastern_university,accept,15
315,160,155,109.0,3.59,2,3,northeastern_university,accept,15
320,162,158,118.0,2.98,14,0,northeastern_university,accept,15
317,165,152,0,3.34,24,3,northeastern_university,accept,15
316,161,155,113.0,3.17,26,0,northeastern_university,accept,15
322,167,155,112.0,3.17,18,3,northeastern_university,accept,15
316,164,152,103.0,3.1,6,0,northeastern_university,accept,15
324,167,157,111.0,2.85,40,1,northeastern_university,accept,15
316,163,153,104.0,3.05,8,0,northeastern_university,accept,15
315,165,150,102.0,2.46,29,2,northeastern_university,accept,15
308,162,146,104.0,3.07,7,0,northeastern_university,accept,15
303,152,151,100.0,3.0,24,3,northeastern_university,accept,15
319,164,155,115.0,2.95,24,0,northeastern_university,accept,15
310,158,152,107.0,2.88,19,0,northeastern_university,accept,15
319,163,156,114.0,3.05,16,0,northeastern_university,accept,15
334,166,168,114.0,2.46,0,0,northeastern_university,accept,15
319,154,165,102.0,2.25,0,0,northeastern_university,accept,15
314,163,151,109.0,2.82,0,0,northeastern_university,accept,15
311,166,145,98.0,2.15,0,0,northeastern_university,accept,15
299,157,142,97.0,2.22,0,0,northeastern_university,accept,15
302,155,147,109.0,2.9,0,0,northeastern_university,accept,15
310,160,150,95.0,3.13,0,0,northeastern_university,accept,15
